"Term","Estimate","p_value","Multiplier","Pct_Effect"
"(Intercept)",12.607317540574,1.34732592737453e-131,298736.6039,29873560.39
"Danceability",0.583106885960952,6.87327109035595e-11,1.7916,79.16
"Energy",-0.178175143547283,0.0274072413428501,0.8368,-16.32
"Speechiness",-2.3183498638926,2.65918935459523e-89,0.0984,-90.16
"Acousticness",-0.507876269117641,4.87582302926395e-19,0.6018,-39.82
"Instrumentalness",-0.938039099641944,2.17725534447033e-43,0.3914,-60.86
"Liveness",-0.364870315158809,6.88883950407144e-07,0.6943,-30.57
"Valence",-0.374137938915823,2.23458446708466e-10,0.6879,-31.21
"Tempo",0.00187276307265444,5.36475417179467e-06,1.0019,0.19
"ln_Duration",0.405022595719606,6.73116791901329e-24,1.4993,49.93
"official_videoHas_MV",0.0839380285632426,0.0909896010991612,1.0876,8.76
"LicensedLicensed",0.262993658055458,7.60724206218839e-09,1.3008,30.08
