"Term","Estimate","Std_Error","t_value","p_value"
"(Intercept)",-5.29796728354218,0.785687898997583,-6.74309390573735,1.59643141171989e-11
"Danceability",2.015036760713,0.136419952014892,14.7708361640021,4.31026711259542e-49
"Energy",0.970836054405537,0.123775706244771,7.84351052286202,4.61898121213909e-15
"Speechiness",-2.78799822188745,0.170388540804524,-16.3625922771763,9.32791052596017e-60
"Acousticness",-0.15487410952347,0.087259096680094,-1.77487637869165,0.0759347926449371
"Instrumentalness",-1.95824698238125,0.103003309904736,-19.0114956906955,7.94498310790048e-80
"Liveness",-0.220431343876454,0.113808438756987,-1.93686291002671,0.0527773575554144
"Valence",-0.302203557862224,0.0899644535517199,-3.35914403891187,0.000783426646914237
"Tempo",0.00368897095548765,0.000629957475507911,5.85590472200266,4.82476499986894e-09
"ln_Duration",1.4530387070661,0.0614849578167779,23.6324258592822,1.14631462659989e-121
"official_videoHas_MV",1.58782937504829,0.0762187360981402,20.8325335256646,2.7436890107652e-95
"LicensedLicensed",0.786491782166936,0.0691120580401448,11.3799502499273,6.62249982994102e-30
