"Row","CooksD","Leverage","Std_Resid","ln_Stream","Fitted","official_video","Danceability"
4781,0.0067,0.0046,-4.196,9.263,15.967,"Has_MV",0.625
4782,0.0063,0.0043,-4.2,9.241,15.953,"Has_MV",0.675
4778,0.0063,0.0044,-4.112,9.279,15.849,"Has_MV",0.688
4784,0.0063,0.0042,-4.204,8.994,15.711,"Has_MV",0.674
4779,0.0062,0.0042,-4.211,9.278,16.008,"Has_MV",0.711
4777,0.006,0.0041,-4.179,9.287,15.966,"Has_MV",0.69
4776,0.006,0.0041,-4.169,9.311,15.974,"Has_MV",0.761
4783,0.0058,0.0039,-4.233,8.997,15.761,"Has_MV",0.716
4780,0.0057,0.0039,-4.155,9.274,15.915,"Has_MV",0.713
4775,0.0056,0.0047,-3.75,9.439,15.43,"Has_MV",0.641
