"response","model_id","term","Estimate","Std. Error","t value","Pr(>|t|)","exp_beta"
"ln_Stream","E4_interactions","(Intercept)",-37.0013032909045,5.73271117809727,-6.45441609412905,1.11458848085719e-10,8.52193382621543e-17
"ln_Stream","E4_interactions","Danceability",-0.784552674309864,0.43565207168647,-1.80086983466589,0.0717404177319559,0.456323781487669
"ln_Stream","E4_interactions","Energy",1.67818916905524,0.309703588213886,5.41869462583127,6.08203660417087e-08,5.35584864814668
"ln_Stream","E4_interactions","Speechiness",-1.72256915864173,0.116058171639896,-14.8422910192528,1.54997516887658e-49,0.178606689034242
"ln_Stream","E4_interactions","Acousticness",-0.304206926296712,0.0583586727819549,-5.21271152675659,1.88191784454124e-07,0.737708199429963
"ln_Stream","E4_interactions","Instrumentalness",-0.818060745860133,0.0752356239131814,-10.8733164332383,1.88668128873187e-27,0.441286592118049
"ln_Stream","E4_interactions","Liveness",-0.421318574418369,0.073175902714025,-5.75761362404919,8.67246037997257e-09,0.656181025619259
"ln_Stream","E4_interactions","Valence",-0.791096381584648,0.0604153118124636,-13.0943027165085,5.38810666753252e-39,0.453347480879513
"ln_Stream","E4_interactions","Tempo",0.00209683372856309,0.000408710937055803,5.13035874123624,2.92245866114626e-07,1.00209903362174
"ln_Stream","E4_interactions","ln_Duration",8.54177996229071,0.928079746786594,9.20371335746306,3.83466637433869e-20,5124.45758991131
"ln_Stream","E4_interactions","ln_Time",0.176110014369611,0.0322523569746841,5.46037657055097,4.81523472228257e-08,1.19256925118839
"ln_Stream","E4_interactions","official_videoOfficial_Video",-2.27128035334743,0.343702231608369,-6.60827933155649,3.99900122067646e-11,0.103179988631443
"ln_Stream","E4_interactions","LicensedLicensed",0.0459677064399316,0.0440160301584351,1.04434012505152,0.296342320376313,1.04704059774253
"ln_Stream","E4_interactions","Album_typecompilation",-0.255616306419179,0.0649870155620468,-3.93334428744658,8.40916687978121e-05,0.774439059088493
"ln_Stream","E4_interactions","Album_typesingle",-0.426409283391357,0.0300710576696829,-14.1800560550704,2.15830652621092e-45,0.652849087144464
"ln_Stream","E4_interactions","I(Danceability^2)",1.26368890333155,0.344030485068395,3.67318873814431,0.000240248398118428,3.53845044293922
"ln_Stream","E4_interactions","I(Energy^2)",-1.22211565648522,0.244507031914904,-4.99828429028802,5.83950223350613e-07,0.294606221566482
"ln_Stream","E4_interactions","I(ln_Duration^2)",-0.343860505244478,0.0376083377520856,-9.14319871064786,6.70598758539455e-20,0.709027826814781
"ln_Stream","E4_interactions","Danceability:official_videoOfficial_Video",0.646782749441676,0.177304627132464,3.64786164863293,0.000265191310858678,1.90938795718463
"ln_Stream","E4_interactions","ln_Time:official_videoOfficial_Video",0.271466211140364,0.0356738685204457,7.60966562919237,2.88575214093245e-14,1.3118865439573
"ln_Views","E4_interactions","(Intercept)",-84.1637657354729,8.14335188667153,-10.3352731045832,5.65657798482028e-25,2.80634438362749e-37
"ln_Views","E4_interactions","Danceability",-2.21967961362444,0.593072663063525,-3.74267733427242,0.000182589443500868,0.108643911278506
"ln_Views","E4_interactions","Energy",7.0796581285794,0.41498893122492,17.0598721938978,8.66309279865296e-65,1187.56245543868
"ln_Views","E4_interactions","Speechiness",-1.53978300831871,0.155554192423322,-9.89869179564363,4.77656449222306e-23,0.214427625390088
"ln_Views","E4_interactions","Acousticness",0.443053909716435,0.0802238044469309,5.52272374478975,3.38021294864047e-08,1.55745629410581
"ln_Views","E4_interactions","Instrumentalness",-1.59582509862619,0.101881977734015,-15.6634680060141,5.78991947429155e-55,0.202741178004262
"ln_Views","E4_interactions","Liveness",-0.218574546830862,0.100740129740073,-2.16968696977881,0.030042535735114,0.803663566639556
"ln_Views","E4_interactions","Valence",-0.743715492533943,0.0815230647262486,-9.1227616997878,8.01429362514079e-20,0.475344491506491
"ln_Views","E4_interactions","Tempo",0.00448283153366983,0.000562453233815086,7.97014091867346,1.67109457728526e-15,1.00449289445412
"ln_Views","E4_interactions","ln_Duration",13.2478769147536,1.31821666383645,10.0498478574818,1.0500863631728e-23,566865.25828131
"ln_Views","E4_interactions","ln_Time",1.27260325328091,0.0684739139878787,18.5852272663454,1.91962142173461e-76,3.57013443976834
"ln_Views","E4_interactions","official_videoOfficial_Video",-4.21420758866923,0.656942491809737,-6.41488051269143,1.44153902214724e-10,0.0147840321613494
"ln_Views","E4_interactions","LicensedLicensed",0.421106993657824,0.0614567040061235,6.85209206168729,7.49372570642486e-12,1.5236472902848
"ln_Views","E4_interactions","Album_typecompilation",-0.290780075004911,0.0866069914700983,-3.35746652861513,0.000788098108417202,0.74768009347878
"ln_Views","E4_interactions","Album_typesingle",0.292227657837297,0.0418023921145646,6.99069223207158,2.82322892685296e-12,1.33940790964042
"ln_Views","E4_interactions","I(Danceability^2)",3.25164975192827,0.473791472907555,6.86303983474758,6.94234495338768e-12,25.832922696055
"ln_Views","E4_interactions","I(Energy^2)",-4.81474891693278,0.329212328577898,-14.6250565333659,3.48761603751745e-48,0.00810925791966067
"ln_Views","E4_interactions","I(ln_Duration^2)",-0.508956118957687,0.053422598751316,-9.52698166794345,1.80207704674653e-21,0.601122752053157
"ln_Views","E4_interactions","Danceability:official_videoOfficial_Video",1.44510417158943,0.236972900613936,6.09818324308619,1.09288711963636e-09,4.24229404631679
"ln_Views","E4_interactions","ln_Time:official_videoOfficial_Video",0.668811555166853,0.0760414202789641,8.7953585389813,1.54166235105892e-18,1.95191619692642
