"","Danceability","Energy","Key","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration_ms","ln_Duration","ln_Days"
"Danceability",1,0.236595957460772,0.0377350377218932,0.353407690426881,0.210375684256654,-0.279435179981761,-0.318610961913361,-0.0844822580807664,0.465755973959354,-0.0659432225263539,-0.089159323366141,-0.0901938889054182,-0.166800098132068
"Energy",0.236595957460772,1,0.0301604479971941,0.744844555552846,0.0653186377355714,-0.658304108199617,-0.310058254986707,0.173717320875762,0.3891578868819,0.157382821206936,0.0226596346380788,0.0619783079547329,-0.00518079659754663
"Key",0.0377350377218932,0.0301604479971941,1,0.0252657856097675,0.0197781626429655,-0.030817516101292,0.000746675440770739,-0.0110080750315978,0.0425589408046294,0.00185494809357586,0.0031863144765215,0.000988084385395303,-0.0157790597978566
"Loudness",0.353407690426881,0.744844555552846,0.0252657856097675,1,0.033698632446742,-0.547679930258026,-0.545405942254424,0.0870615294518435,0.311578115452688,0.144766161125672,0.012063274186206,0.0970937894947924,-0.0800852604984612
"Speechiness",0.210375684256654,0.0653186377355714,0.0197781626429655,0.033698632446742,1,-0.0775975476733056,-0.109895171056249,0.0854634066264583,0.0592040632172255,0.0375525842226134,-0.0512483134951998,-0.0986464343703932,-0.17340064677647
"Acousticness",-0.279435179981761,-0.658304108199617,-0.030817516101292,-0.547679930258026,-0.0775975476733056,1,0.274378677046064,-0.040921709015993,-0.200816181897819,-0.129366505057236,-0.0288339411806583,-0.0880724474190337,-0.0237570668694262
"Instrumentalness",-0.318610961913361,-0.310058254986707,0.000746675440770739,-0.545405942254424,-0.109895171056249,0.274378677046064,1,-0.060021425843882,-0.269785479100986,-0.0767343800388385,-0.00728387701172962,-0.0911026050529939,0.0192719609838847
"Liveness",-0.0844822580807664,0.173717320875762,-0.0110080750315978,0.0870615294518435,0.0854634066264583,-0.040921709015993,-0.060021425843882,1,0.0319041406754216,0.00666981034184614,-0.00497008077767618,-0.0195377114895377,0.00878493387756272
"Valence",0.465755973959354,0.3891578868819,0.0425589408046294,0.311578115452688,0.0592040632172255,-0.200816181897819,-0.269785479100986,0.0319041406754216,1,0.090431823273547,-0.0523308365287217,-0.0538668982950507,0.0160010000334335
"Tempo",-0.0659432225263539,0.157382821206936,0.00185494809357586,0.144766161125672,0.0375525842226134,-0.129366505057236,-0.0767343800388385,0.00666981034184614,0.090431823273547,1,-0.0136595572342337,-0.00176281724987291,-0.02199415520327
"Duration_ms",-0.089159323366141,0.0226596346380788,0.0031863144765215,0.012063274186206,-0.0512483134951998,-0.0288339411806583,-0.00728387701172962,-0.00497008077767618,-0.0523308365287217,-0.0136595572342337,1,0.716953088880463,0.123037979722705
"ln_Duration",-0.0901938889054182,0.0619783079547329,0.000988084385395303,0.0970937894947924,-0.0986464343703932,-0.0880724474190337,-0.0911026050529939,-0.0195377114895377,-0.0538668982950507,-0.00176281724987291,0.716953088880463,1,0.24788378718667
"ln_Days",-0.166800098132068,-0.00518079659754663,-0.0157790597978566,-0.0800852604984612,-0.17340064677647,-0.0237570668694262,0.0192719609838847,0.00878493387756272,0.0160010000334335,-0.02199415520327,0.123037979722705,0.24788378718667,1
