"variable","class","missing_count","missing_rate","zero_count","zero_rate"
"Days_Since_Release","numeric",1086,0.0524181870836953,0,0
"ln_Days","numeric",1086,0.0524181870836953,0,0
"ln_Stream","numeric",576,0.0278019113814075,0,0
"Stream","numeric",576,0.0278019113814075,0,0
"Comments","numeric",569,0.0274640409305918,499,0.0247654970469999
"Likes","numeric",541,0.0261125591273289,18,0.000892104871883828
"Licensed","factor",470,0.0226855874119123,NA,NA
"ln_Views","numeric",470,0.0226855874119123,1,4.93875938364283e-05
"official_video","factor",470,0.0226855874119123,NA,NA
"Views","numeric",470,0.0226855874119123,1,4.93875938364283e-05
"Acousticness","numeric",2,9.65344145187759e-05,0,0
"Danceability","numeric",2,9.65344145187759e-05,17,0.000820621741648967
"Duration_ms","numeric",2,9.65344145187759e-05,0,0
"Energy","numeric",2,9.65344145187759e-05,0,0
"Instrumentalness","numeric",2,9.65344145187759e-05,9391,0.453321104460321
"Key","numeric",2,9.65344145187759e-05,2305,0.111266653794169
"Liveness","numeric",2,9.65344145187759e-05,0,0
"ln_Duration","numeric",2,9.65344145187759e-05,0,0
"Loudness","numeric",2,9.65344145187759e-05,0,0
"Speechiness","numeric",2,9.65344145187759e-05,17,0.000820621741648967
"Tempo","numeric",2,9.65344145187759e-05,17,0.000820621741648967
"Valence","numeric",2,9.65344145187759e-05,26,0.00125506854605136
"Album","character",0,0,NA,NA
"Album_type","factor",0,0,NA,NA
"Artist","character",0,0,NA,NA
"Channel","character",0,0,NA,NA
"Description","character",0,0,NA,NA
"Spotify_published_date","character",0,0,NA,NA
"Title","character",0,0,NA,NA
"Track","character",0,0,NA,NA
"Uri","character",0,0,NA,NA
"Url_spotify","character",0,0,NA,NA
"Url_youtube","character",0,0,NA,NA
"X","integer",0,0,1,4.8267207259388e-05
"Youtube_published_date","character",0,0,NA,NA
