"response","predictor","predictor_type","n","estimate","p_value","r_squared"
"ln_Views","official_video","categorical",20248,NA,0,0.138547760166804
"ln_Views","Licensed","categorical",20248,NA,0,0.122535604758277
"ln_Views","Loudness","numeric",20247,0.188095395113711,0,0.0948483170206411
"ln_Views","ln_Days","numeric",19632,1.45060555401767,0,0.0797427406383832
"ln_Views","Instrumentalness","numeric",20247,-3.31325520805255,5.60262759971022e-235,0.0515440839150287
"ln_Views","Energy","numeric",20247,2.53176080394547,2.26583904862492e-167,0.0368612828067643
"ln_Views","ln_Duration","numeric",20247,1.62338608838332,7.7431346960658e-146,0.0321384929533419
"ln_Views","Acousticness","numeric",20247,-1.70257819776394,2.13429242336415e-135,0.0298407459660201
"ln_Views","Danceability","numeric",20247,2.64022925675842,1.03572321346311e-108,0.0239442379103548
"ln_Views","Valence","numeric",20247,1.08239719952803,3.21658234146937e-41,0.00889181157594729
"ln_Views","Speechiness","numeric",20247,-2.27898400521556,6.09232506218306e-37,0.00793253800369611
"ln_Views","Duration_ms","numeric",20247,1.51952615763713e-06,5.33273880032686e-22,0.00458140105878181
"ln_Views","Tempo","numeric",20247,0.00508916144817131,2.91649520641849e-14,0.00285053166676058
"ln_Views","Album_type","categorical",20248,NA,4.99568286828061e-11,0.00234053765905065
"ln_Views","Key","numeric",20247,0.0109190728371342,0.0486661388643231,0.000191976040783362
"ln_Views","Liveness","numeric",20247,-0.192508990302025,0.10780911846862,0.000127732547381917
